"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SWE","LTINT","TOT","PC_PA","A","1987",11.68,
"SWE","LTINT","TOT","PC_PA","A","1988",11.35167,
"SWE","LTINT","TOT","PC_PA","A","1989",11.18,
"SWE","LTINT","TOT","PC_PA","A","1990",13.15917,
"SWE","LTINT","TOT","PC_PA","A","1991",10.69083,
"SWE","LTINT","TOT","PC_PA","A","1992",10.01667,
"SWE","LTINT","TOT","PC_PA","A","1993",8.539166,"B"
"SWE","LTINT","TOT","PC_PA","A","1994",9.495,"B"
"SWE","LTINT","TOT","PC_PA","A","1995",10.24417,
"SWE","LTINT","TOT","PC_PA","A","1996",8.026667,
"SWE","LTINT","TOT","PC_PA","A","1997",6.614167,
"SWE","LTINT","TOT","PC_PA","A","1998",4.989167,
"SWE","LTINT","TOT","PC_PA","A","1999",4.98,
"SWE","LTINT","TOT","PC_PA","A","2000",5.3675,
"SWE","LTINT","TOT","PC_PA","A","2001",5.1075,
"SWE","LTINT","TOT","PC_PA","A","2002",5.303333,
"SWE","LTINT","TOT","PC_PA","A","2003",4.638333,
"SWE","LTINT","TOT","PC_PA","A","2004",4.425,
"SWE","LTINT","TOT","PC_PA","A","2005",3.3825,
"SWE","LTINT","TOT","PC_PA","A","2006",3.704167,
"SWE","LTINT","TOT","PC_PA","A","2007",4.1675,
"SWE","LTINT","TOT","PC_PA","A","2008",3.8875,
"SWE","LTINT","TOT","PC_PA","A","2009",3.25,
"SWE","LTINT","TOT","PC_PA","A","2010",2.893333,
"SWE","LTINT","TOT","PC_PA","A","2011",2.605,
"SWE","LTINT","TOT","PC_PA","A","2012",1.5925,
"SWE","LTINT","TOT","PC_PA","A","2013",2.120833,
"SWE","LTINT","TOT","PC_PA","A","2014",1.72,
"SWE","LTINT","TOT","PC_PA","A","2015",0.7191667,
"SWE","LTINT","TOT","PC_PA","A","2016",0.5191666,
"SWE","LTINT","TOT","PC_PA","A","2017",0.655,
"SWE","LTINT","TOT","PC_PA","A","2018",0.6516666,
"SWE","LTINT","TOT","PC_PA","A","2019",0.04666667,
