"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SWE","STINT","TOT","PC_PA","A","1983",11.41083,
"SWE","STINT","TOT","PC_PA","A","1984",11.93083,
"SWE","STINT","TOT","PC_PA","A","1985",14.17417,
"SWE","STINT","TOT","PC_PA","A","1986",9.830833,
"SWE","STINT","TOT","PC_PA","A","1987",9.390833,
"SWE","STINT","TOT","PC_PA","A","1988",10.08333,
"SWE","STINT","TOT","PC_PA","A","1989",11.49917,
"SWE","STINT","TOT","PC_PA","A","1990",13.6675,
"SWE","STINT","TOT","PC_PA","A","1991",11.59333,
"SWE","STINT","TOT","PC_PA","A","1992",12.85833,
"SWE","STINT","TOT","PC_PA","A","1993",8.351666,
"SWE","STINT","TOT","PC_PA","A","1994",7.400833,
"SWE","STINT","TOT","PC_PA","A","1995",8.745833,
"SWE","STINT","TOT","PC_PA","A","1996",5.79,
"SWE","STINT","TOT","PC_PA","A","1997",4.1075,
"SWE","STINT","TOT","PC_PA","A","1998",4.1875,
"SWE","STINT","TOT","PC_PA","A","1999",3.115,
"SWE","STINT","TOT","PC_PA","A","2000",3.954167,
"SWE","STINT","TOT","PC_PA","A","2001",4.032727,
"SWE","STINT","TOT","PC_PA","A","2002",4.065834,
"SWE","STINT","TOT","PC_PA","A","2003",3.026667,
"SWE","STINT","TOT","PC_PA","A","2004",2.114167,
"SWE","STINT","TOT","PC_PA","A","2005",1.716667,
"SWE","STINT","TOT","PC_PA","A","2006",2.331667,
"SWE","STINT","TOT","PC_PA","A","2007",3.5525,
"SWE","STINT","TOT","PC_PA","A","2008",3.905,
"SWE","STINT","TOT","PC_PA","A","2009",0.3983333,
"SWE","STINT","TOT","PC_PA","A","2010",0.5041667,
"SWE","STINT","TOT","PC_PA","A","2011",1.6575,
"SWE","STINT","TOT","PC_PA","A","2012",1.253333,
"SWE","STINT","TOT","PC_PA","A","2013",0.9258333,
"SWE","STINT","TOT","PC_PA","A","2014",0.4208333,
"SWE","STINT","TOT","PC_PA","A","2015",-0.2891667,
"SWE","STINT","TOT","PC_PA","A","2016",-0.655,
"SWE","STINT","TOT","PC_PA","A","2017",-0.695,
"SWE","STINT","TOT","PC_PA","A","2018",-0.6858333,
"SWE","STINT","TOT","PC_PA","A","2019",-0.4208333,
