"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SWE","AVWAGE","TOT","USD","A","1990",28916.2656203145,
"SWE","AVWAGE","TOT","USD","A","1991",27539.4169350891,
"SWE","AVWAGE","TOT","USD","A","1992",28402.3770809704,
"SWE","AVWAGE","TOT","USD","A","1993",28030.2334654529,
"SWE","AVWAGE","TOT","USD","A","1994",28719.0969261775,
"SWE","AVWAGE","TOT","USD","A","1995",28780.4244935875,
"SWE","AVWAGE","TOT","USD","A","1996",30497.8921517732,
"SWE","AVWAGE","TOT","USD","A","1997",31709.8795925292,
"SWE","AVWAGE","TOT","USD","A","1998",32744.3670290277,
"SWE","AVWAGE","TOT","USD","A","1999",33429.2011671798,
"SWE","AVWAGE","TOT","USD","A","2000",34485.6543079843,
"SWE","AVWAGE","TOT","USD","A","2001",34883.8558928561,
"SWE","AVWAGE","TOT","USD","A","2002",35338.8840387654,
"SWE","AVWAGE","TOT","USD","A","2003",35640.4241981166,
"SWE","AVWAGE","TOT","USD","A","2004",36826.1236964901,
"SWE","AVWAGE","TOT","USD","A","2005",37733.0077193543,
"SWE","AVWAGE","TOT","USD","A","2006",38785.1557456307,
"SWE","AVWAGE","TOT","USD","A","2007",40126.1591912261,
"SWE","AVWAGE","TOT","USD","A","2008",40904.5604965576,
"SWE","AVWAGE","TOT","USD","A","2009",41052.9767660575,
"SWE","AVWAGE","TOT","USD","A","2010",41549.5435575264,
"SWE","AVWAGE","TOT","USD","A","2011",42180.4300529146,
"SWE","AVWAGE","TOT","USD","A","2012",43133.1536510539,
"SWE","AVWAGE","TOT","USD","A","2013",43647.0637576447,
"SWE","AVWAGE","TOT","USD","A","2014",44239.5525976122,
"SWE","AVWAGE","TOT","USD","A","2015",44849.4209013654,
"SWE","AVWAGE","TOT","USD","A","2016",45552.0813260521,
"SWE","AVWAGE","TOT","USD","A","2017",45818.0504369707,
"SWE","AVWAGE","TOT","USD","A","2018",46061.6924234001,
"SWE","AVWAGE","TOT","USD","A","2019",46695.3498606658,
