"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SWE","CPI","TOT","AGRWTH","M","1983-01",9.660931,
"SWE","CPI","TOT","AGRWTH","M","1983-02",8.173723,
"SWE","CPI","TOT","AGRWTH","M","1983-03",8.304006,
"SWE","CPI","TOT","AGRWTH","M","1983-04",8.431829,
"SWE","CPI","TOT","AGRWTH","M","1983-05",8.653129,
"SWE","CPI","TOT","AGRWTH","M","1983-06",8.871634,
"SWE","CPI","TOT","AGRWTH","M","1983-07",8.982773,
"SWE","CPI","TOT","AGRWTH","M","1983-08",9.253804,
"SWE","CPI","TOT","AGRWTH","M","1983-09",9.45638,
"SWE","CPI","TOT","AGRWTH","M","1983-10",8.836986,
"SWE","CPI","TOT","AGRWTH","M","1983-11",8.631948,
"SWE","CPI","TOT","AGRWTH","M","1983-12",9.202795,
"SWE","CPI","TOT","AGRWTH","M","1984-01",8.320385,
"SWE","CPI","TOT","AGRWTH","M","1984-02",7.835676,
"SWE","CPI","TOT","AGRWTH","M","1984-03",8.982592,
"SWE","CPI","TOT","AGRWTH","M","1984-04",8.827819,
"SWE","CPI","TOT","AGRWTH","M","1984-05",8.909909,
"SWE","CPI","TOT","AGRWTH","M","1984-06",8.06525,
"SWE","CPI","TOT","AGRWTH","M","1984-07",7.48965,
"SWE","CPI","TOT","AGRWTH","M","1984-08",7.743578,
"SWE","CPI","TOT","AGRWTH","M","1984-09",7.657992,
"SWE","CPI","TOT","AGRWTH","M","1984-10",7.308259,
"SWE","CPI","TOT","AGRWTH","M","1984-11",7.322973,
"SWE","CPI","TOT","AGRWTH","M","1984-12",8.15822,
"SWE","CPI","TOT","AGRWTH","M","1985-01",7.315499,
"SWE","CPI","TOT","AGRWTH","M","1985-02",8.706611,
"SWE","CPI","TOT","AGRWTH","M","1985-03",7.986653,
"SWE","CPI","TOT","AGRWTH","M","1985-04",7.723778,
"SWE","CPI","TOT","AGRWTH","M","1985-05",8.18099,
"SWE","CPI","TOT","AGRWTH","M","1985-06",8.081162,
"SWE","CPI","TOT","AGRWTH","M","1985-07",7.731092,
"SWE","CPI","TOT","AGRWTH","M","1985-08",6.888163,
"SWE","CPI","TOT","AGRWTH","M","1985-09",6.671271,
