"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SWE","CPI","TOT","AGRWTH","A","1983",8.873021,
"SWE","CPI","TOT","AGRWTH","A","1984",8.044243,
"SWE","CPI","TOT","AGRWTH","A","1985",7.372575,
"SWE","CPI","TOT","AGRWTH","A","1986",4.23591,
"SWE","CPI","TOT","AGRWTH","A","1987",4.188571,
"SWE","CPI","TOT","AGRWTH","A","1988",5.824899,
"SWE","CPI","TOT","AGRWTH","A","1989",6.443276,
"SWE","CPI","TOT","AGRWTH","A","1990",10.36655,
"SWE","CPI","TOT","AGRWTH","A","1991",9.444628,
"SWE","CPI","TOT","AGRWTH","A","1992",2.374367,
"SWE","CPI","TOT","AGRWTH","A","1993",4.728173,
"SWE","CPI","TOT","AGRWTH","A","1994",2.158138,
"SWE","CPI","TOT","AGRWTH","A","1995",2.455149,
"SWE","CPI","TOT","AGRWTH","A","1996",0.533132,
"SWE","CPI","TOT","AGRWTH","A","1997",0.6584103,
"SWE","CPI","TOT","AGRWTH","A","1998",-0.2671327,
"SWE","CPI","TOT","AGRWTH","A","1999",0.4621758,
"SWE","CPI","TOT","AGRWTH","A","2000",0.8991438,
"SWE","CPI","TOT","AGRWTH","A","2001",2.405958,
"SWE","CPI","TOT","AGRWTH","A","2002",2.158482,
"SWE","CPI","TOT","AGRWTH","A","2003",1.925655,
"SWE","CPI","TOT","AGRWTH","A","2004",0.3736598,
"SWE","CPI","TOT","AGRWTH","A","2005",0.4531709,
"SWE","CPI","TOT","AGRWTH","A","2006",1.360215,
"SWE","CPI","TOT","AGRWTH","A","2007",2.212169,
"SWE","CPI","TOT","AGRWTH","A","2008",3.437049,
"SWE","CPI","TOT","AGRWTH","A","2009",-0.4944606,
"SWE","CPI","TOT","AGRWTH","A","2010",1.157988,
"SWE","CPI","TOT","AGRWTH","A","2011",2.961151,
"SWE","CPI","TOT","AGRWTH","A","2012",0.8883775,
"SWE","CPI","TOT","AGRWTH","A","2013",-0.04429297,
"SWE","CPI","TOT","AGRWTH","A","2014",-0.1796385,
"SWE","CPI","TOT","AGRWTH","A","2015",-0.04678474,
"SWE","CPI","TOT","AGRWTH","A","2016",0.9842693,
"SWE","CPI","TOT","AGRWTH","A","2017",1.794499,
"SWE","CPI","TOT","AGRWTH","A","2018",1.953535,
"SWE","CPI","TOT","AGRWTH","A","2019",1.784151,
