"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SWE","HUR","TOT","PC_LF","M","1983-01",3.4,
"SWE","HUR","TOT","PC_LF","M","1983-02",3.7,
"SWE","HUR","TOT","PC_LF","M","1983-03",3.7,
"SWE","HUR","TOT","PC_LF","M","1983-04",3.4,
"SWE","HUR","TOT","PC_LF","M","1983-05",3.7,
"SWE","HUR","TOT","PC_LF","M","1983-06",3.9,
"SWE","HUR","TOT","PC_LF","M","1983-07",3.7,
"SWE","HUR","TOT","PC_LF","M","1983-08",3.8,
"SWE","HUR","TOT","PC_LF","M","1983-09",3.8,
"SWE","HUR","TOT","PC_LF","M","1983-10",3.7,
"SWE","HUR","TOT","PC_LF","M","1983-11",3.7,
"SWE","HUR","TOT","PC_LF","M","1983-12",3.6,
"SWE","HUR","TOT","PC_LF","M","1984-01",3.7,
"SWE","HUR","TOT","PC_LF","M","1984-02",3.4,
"SWE","HUR","TOT","PC_LF","M","1984-03",3.3,
"SWE","HUR","TOT","PC_LF","M","1984-04",3.5,
"SWE","HUR","TOT","PC_LF","M","1984-05",3.3,
"SWE","HUR","TOT","PC_LF","M","1984-06",3.2,
"SWE","HUR","TOT","PC_LF","M","1984-07",3.3,
"SWE","HUR","TOT","PC_LF","M","1984-08",3.2,
"SWE","HUR","TOT","PC_LF","M","1984-09",2.9,
"SWE","HUR","TOT","PC_LF","M","1984-10",3.3,
"SWE","HUR","TOT","PC_LF","M","1984-11",3,
"SWE","HUR","TOT","PC_LF","M","1984-12",2.9,
"SWE","HUR","TOT","PC_LF","M","1985-01",3.1,
"SWE","HUR","TOT","PC_LF","M","1985-02",2.9,
"SWE","HUR","TOT","PC_LF","M","1985-03",3,
"SWE","HUR","TOT","PC_LF","M","1985-04",3,
"SWE","HUR","TOT","PC_LF","M","1985-05",3,
"SWE","HUR","TOT","PC_LF","M","1985-06",2.9,
"SWE","HUR","TOT","PC_LF","M","1985-07",2.8,
"SWE","HUR","TOT","PC_LF","M","1985-08",2.8,
"SWE","HUR","TOT","PC_LF","M","1985-09",2.8,
"SWE","HUR","TOT","PC_LF","M","1985-10",2.6,
"SWE","HUR","TOT","PC_LF","M","1985-11",2.7,
"SWE","HUR","TOT","PC_LF","M","1985-12",2.8,
"SWE","HUR","TOT","PC_LF","M","1986-01",2.7,
"SWE","HUR","TOT","PC_LF","M","1986-02",2.9,
"SWE","HUR","TOT","PC_LF","M","1986-03",2.9,
